source,source_kind,raw_line,source_text_all,candidate_norm,candidate_formatted,ocr_confidence,line_index,line_center_y,line_height_ratio,source_bonus,pattern_score,confidence_bonus,line_quality_bonus,noise_penalty,agreement_bonus,conflict_adjustment,score,removed_noise_suffix,notes,final_score,run_label,filename,plat_gt,rank,selected
main_roi,main_roi_joined,BE1282ANG,BE1282ANG,BE1282A,BE 1282 A,0.9938652515411377,,,,0.8,102.0,11.926383018493652,0.0,-4.4,8.0,0.0,110.32638301849364,NG,removed trailing noisy suffix after valid 1-letter plate suffix: NG; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,118.32638301849364,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,11,False
full_crop,full_crop_joined,BE1282ANG C4·29,BE1282ANG C4·29,BE1282A,BE 1282 A,0.8128653168678284,,,,0.5,105.0,9.75438380241394,0.0,-7.199999999999999,8.0,0.0,108.05438380241394,NGC429,removed trailing noisy suffix after valid 1-letter plate suffix: NGC429; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,116.05438380241394,improved_v2_test,alpr_lampung_000015.jpg,BE 1282 ANG,12,False
full_crop,full_crop_line,BE 1193ALQ,BE 1193ALQ C3·3C,BE1193ALQ,BE 1193 ALQ,0.9513411521911621,0.0,0.34701492537313433,0.6194029850746269,2.0,118.0,11.416093826293945,8.0,0.0,8.0,68.0,139.41609382629395,,"candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",215.41609382629395,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,1,True
full_crop,full_crop_joined,BE 1193ALQ C3·3C,BE 1193ALQ C3·3C,BE1193ALQ,BE 1193 ALQ,0.8680028319358826,,,,0.5,113.0,10.41603398323059,0.0,-2.8,8.0,80.0,121.1160339832306,C33C,"removed trailing noisy suffix after valid 3-letter plate suffix: C33C; trailing digits/date-like noise removed; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",209.11603398323058,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,2,False
main_roi,main_roi_line,BE1193ALQ,BE1193ALQ,BE1193AL,BE 1193 AL,0.9930321574211121,0.0,0.5,1.0,2.2,104.0,11.916385889053345,8.0,-3.7,8.0,0.0,122.41638588905334,Q,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: Q; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,130.41638588905334,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,3,False
full_crop,full_crop_line,BE 1193ALQ,BE 1193ALQ C3·3C,BE1193AL,BE 1193 AL,0.9513411521911621,0.0,0.34701492537313433,0.6194029850746269,2.0,104.0,11.416093826293945,8.0,-3.7,8.0,0.0,121.71609382629394,Q,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: Q; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,129.71609382629396,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,4,False
main_roi,main_roi_line,BE1193ALQ,BE1193ALQ,BE1193ALQ,BE 1193 ALQ,0.9930321574211121,0.0,0.5,1.0,2.2,118.0,11.916385889053345,8.0,0.0,8.0,-20.0,140.11638588905333,,candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source; main_roi penalized: comparable suffix conflict with plausible full_crop candidate; main_roi penalized: comparable suffix conflict with plausible full_crop candidate,128.11638588905333,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,5,False
main_roi,main_roi_line,BE1193ALQ,BE1193ALQ,BE1193A,BE 1193 A,0.9930321574211121,0.0,0.5,1.0,2.2,102.0,11.916385889053345,8.0,-4.4,8.0,0.0,119.71638588905334,LQ,candidate from single OCR line; removed trailing noisy suffix after valid 1-letter plate suffix: LQ; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,127.71638588905334,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,6,False
full_crop,full_crop_line,BE 1193ALQ,BE 1193ALQ C3·3C,BE1193A,BE 1193 A,0.9513411521911621,0.0,0.34701492537313433,0.6194029850746269,2.0,102.0,11.416093826293945,8.0,-4.4,8.0,0.0,119.01609382629394,LQ,candidate from single OCR line; removed trailing noisy suffix after valid 1-letter plate suffix: LQ; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,127.01609382629394,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,7,False
main_roi,main_roi_joined,BE1193ALQ,BE1193ALQ,BE1193AL,BE 1193 AL,0.9930321574211121,,,,0.8,104.0,11.916385889053345,0.0,-3.7,8.0,0.0,113.01638588905334,Q,removed trailing noisy suffix after valid 2-letter plate suffix: Q; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,121.01638588905334,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,8,False
full_crop,full_crop_joined,BE 1193ALQ C3·3C,BE 1193ALQ C3·3C,BE1193AL,BE 1193 AL,0.8680028319358826,,,,0.5,107.0,10.41603398323059,0.0,-6.5,8.0,0.0,111.41603398323059,QC33C,removed trailing noisy suffix after valid 2-letter plate suffix: QC33C; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,119.41603398323059,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,9,False
main_roi,main_roi_joined,BE1193ALQ,BE1193ALQ,BE1193ALQ,BE 1193 ALQ,0.9930321574211121,,,,0.8,118.0,11.916385889053345,0.0,0.0,8.0,-20.0,130.71638588905336,,exact plate-like candidate without trailing noise; agreement with another OCR source; main_roi penalized: comparable suffix conflict with plausible full_crop candidate; main_roi penalized: comparable suffix conflict with plausible full_crop candidate,118.71638588905336,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,10,False
main_roi,main_roi_joined,BE1193ALQ,BE1193ALQ,BE1193A,BE 1193 A,0.9930321574211121,,,,0.8,102.0,11.916385889053345,0.0,-4.4,8.0,0.0,110.31638588905334,LQ,removed trailing noisy suffix after valid 1-letter plate suffix: LQ; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,118.31638588905334,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,11,False
full_crop,full_crop_joined,BE 1193ALQ C3·3C,BE 1193ALQ C3·3C,BE1193A,BE 1193 A,0.8680028319358826,,,,0.5,105.0,10.41603398323059,0.0,-7.199999999999999,8.0,0.0,108.71603398323059,LQC33C,removed trailing noisy suffix after valid 1-letter plate suffix: LQC33C; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,116.71603398323059,improved_v2_test,alpr_lampung_000026.jpg,BE 1193 ALQ,12,False
main_roi,main_roi_joined,BE 1498 GP,BE 1498 GP,BE1498GP,BE 1498 GP,0.9926042755444845,,,,0.8,112.0,11.911251306533813,0.0,0.0,16.0,0.0,124.71125130653381,,exact plate-like candidate without trailing noise; agreement with another OCR source,140.71125130653382,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,1,True
enhanced_main_roi,enhanced_main_roi_joined,BE1498 GP,BE1498 GP,BE1498GP,BE 1498 GP,0.9950463771820068,,,,-0.5,112.0,11.940556526184082,0.0,0.0,16.0,0.0,123.44055652618408,,exact plate-like candidate without trailing noise; agreement with another OCR source,139.44055652618408,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,2,False
full_crop,full_crop_joined,BE 1498 GP 11·29,BE 1498 GP 11·29,BE1498GP,BE 1498 GP,0.9416577965021133,,,,0.5,107.0,11.29989355802536,0.0,-2.8,16.0,0.0,115.99989355802536,1129,removed trailing noisy suffix after valid 2-letter plate suffix: 1129; trailing digits/date-like noise removed; agreement with another OCR source,131.99989355802535,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,3,False
main_roi,main_roi_joined,BE 1498 GP,BE 1498 GP,BE1498G,BE 1498 G,0.9926042755444845,,,,0.8,102.0,11.911251306533813,0.0,-0.7,16.0,0.0,114.01125130653381,P,removed trailing noisy suffix after valid 1-letter plate suffix: P; agreement with another OCR source,130.0112513065338,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,4,False
full_crop,full_crop_joined,BE 1498 GP 11·29,BE 1498 GP 11·29,BE1498G,BE 1498 G,0.9416577965021133,,,,0.5,105.0,11.29989355802536,0.0,-3.5,16.0,0.0,113.29989355802536,P1129,removed trailing noisy suffix after valid 1-letter plate suffix: P1129; trailing digits/date-like noise removed; agreement with another OCR source,129.29989355802536,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,5,False
enhanced_main_roi,enhanced_main_roi_joined,BE1498 GP,BE1498 GP,BE1498G,BE 1498 G,0.9950463771820068,,,,-0.5,102.0,11.940556526184082,0.0,-0.7,16.0,0.0,112.74055652618408,P,removed trailing noisy suffix after valid 1-letter plate suffix: P; agreement with another OCR source,128.7405565261841,improved_v2_test,alpr_lampung_000036.jpg,BE 1498 GP,6,False
full_crop,full_crop_joined,BE2581 GDC 09.30,BE2581 GDC 09.30 One HEART,BE2581GDC,BE 2581 GDC,0.9078091681003571,,,,0.5,113.0,10.893710017204285,0.0,-2.8,0.0,40.0,121.59371001720429,0930,"removed trailing noisy suffix after valid 3-letter plate suffix: 0930; trailing digits/date-like noise removed; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",161.59371001720427,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,1,True
main_roi,main_roi_joined,BE2581 COC,BE2581 COC,BE2581COC,BE 2581 COC,0.8838742673397064,,,,0.8,118.0,10.606491208076477,0.0,0.0,0.0,-10.0,129.4064912080765,,exact plate-like candidate without trailing noise; main_roi penalized: comparable suffix conflict with plausible full_crop candidate,119.40649120807649,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,2,False
full_crop,full_crop_joined,BE2581 GDC 09.30,BE2581 GDC 09.30 One HEART,BE2581GD,BE 2581 GD,0.9078091681003571,,,,0.5,107.0,10.893710017204285,0.0,-6.5,0.0,0.0,111.89371001720428,C0930,removed trailing noisy suffix after valid 2-letter plate suffix: C0930; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible,111.89371001720428,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,3,False
main_roi,main_roi_joined,BE2581 COC,BE2581 COC,BE2581CO,BE 2581 CO,0.8838742673397064,,,,0.8,104.0,10.606491208076477,0.0,-3.7,0.0,0.0,111.70649120807647,C,removed trailing noisy suffix after valid 2-letter plate suffix: C; shorter suffix penalized because 3-letter suffix remains plausible,111.70649120807647,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,4,False
full_crop,full_crop_joined,BE2581 GDC 09.30,BE2581 GDC 09.30 One HEART,BE2581G,BE 2581 G,0.9078091681003571,,,,0.5,105.0,10.893710017204285,0.0,-7.199999999999999,0.0,0.0,109.19371001720428,DC0930,removed trailing noisy suffix after valid 1-letter plate suffix: DC0930; trailing digits/date-like noise removed; shorter suffix penalized because 3-letter suffix remains plausible,109.19371001720428,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,5,False
main_roi,main_roi_joined,BE2581 COC,BE2581 COC,BE2581C,BE 2581 C,0.8838742673397064,,,,0.8,102.0,10.606491208076477,0.0,-4.4,0.0,0.0,109.00649120807647,OC,removed trailing noisy suffix after valid 1-letter plate suffix: OC; shorter suffix penalized because 3-letter suffix remains plausible,109.00649120807647,improved_v2_test,alpr_lampung_000044.jpg,BE 2581 GDC,6,False
main_roi,main_roi_joined,BE 1482 BW,BE 1482 BW,BE1482BW,BE 1482 BW,0.9684843719005585,,,,0.8,112.0,11.621812462806702,0.0,0.0,16.0,0.0,124.4218124628067,,exact plate-like candidate without trailing noise; agreement with another OCR source,140.4218124628067,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,1,True
enhanced_main_roi,enhanced_main_roi_joined,BE 1482 BW,BE 1482 BW -,BE1482BW,BE 1482 BW,0.8089761845767498,,,,-0.5,112.0,9.707714214920998,0.0,0.0,16.0,0.0,121.207714214921,,exact plate-like candidate without trailing noise; agreement with another OCR source,137.207714214921,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,2,False
full_crop,full_crop_joined,BE 1482 BW 11.28,BE 1482 BW 11.28,BE1482BW,BE 1482 BW,0.9731687605381012,,,,0.5,107.0,11.678025126457214,0.0,-2.8,16.0,0.0,116.37802512645722,1128,removed trailing noisy suffix after valid 2-letter plate suffix: 1128; trailing digits/date-like noise removed; agreement with another OCR source,132.3780251264572,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,3,False
main_roi,main_roi_joined,BE 1482 BW,BE 1482 BW,BE1482B,BE 1482 B,0.9684843719005585,,,,0.8,102.0,11.621812462806702,0.0,-0.7,16.0,0.0,113.7218124628067,W,removed trailing noisy suffix after valid 1-letter plate suffix: W; agreement with another OCR source,129.7218124628067,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,4,False
full_crop,full_crop_joined,BE 1482 BW 11.28,BE 1482 BW 11.28,BE1482B,BE 1482 B,0.9731687605381012,,,,0.5,105.0,11.678025126457214,0.0,-3.5,16.0,0.0,113.67802512645721,W1128,removed trailing noisy suffix after valid 1-letter plate suffix: W1128; trailing digits/date-like noise removed; agreement with another OCR source,129.67802512645721,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,5,False
enhanced_main_roi,enhanced_main_roi_joined,BE 1482 BW,BE 1482 BW -,BE1482B,BE 1482 B,0.8089761845767498,,,,-0.5,102.0,9.707714214920998,0.0,-0.7,16.0,0.0,110.507714214921,W,removed trailing noisy suffix after valid 1-letter plate suffix: W; agreement with another OCR source,126.507714214921,improved_v2_test,alpr_lampung_000117.jpg,BE 1482 BW,6,False
main_roi,main_roi_joined,BE 2919 RG,BE 2919 RG,BE2919RG,BE 2919 RG,0.9932032028834025,,,,0.8,112.0,11.91843843460083,0.0,0.0,8.0,0.0,124.71843843460083,,exact plate-like candidate without trailing noise; agreement with another OCR source,132.71843843460084,improved_v2_test,alpr_lampung_000127.jpg,BE 2919 RG,1,True
main_roi,main_roi_joined,BE 2919 RG,BE 2919 RG,BE2919R,BE 2919 R,0.9932032028834025,,,,0.8,102.0,11.91843843460083,0.0,-0.7,8.0,0.0,114.01843843460082,G,removed trailing noisy suffix after valid 1-letter plate suffix: G; agreement with another OCR source,122.01843843460082,improved_v2_test,alpr_lampung_000127.jpg,BE 2919 RG,2,False
full_crop,full_crop_joined,BE 2919 RG 07.29,BE 2919 RG 1d0 R 07.29,BE2919RG,BE 2919 RG,0.7653193275133768,,,,0.5,107.0,9.183831930160522,0.0,-2.8,8.0,0.0,113.88383193016053,0729,removed trailing noisy suffix after valid 2-letter plate suffix: 0729; trailing digits/date-like noise removed; agreement with another OCR source,121.88383193016053,improved_v2_test,alpr_lampung_000127.jpg,BE 2919 RG,3,False
full_crop,full_crop_joined,BE 2919 RG 07.29,BE 2919 RG 1d0 R 07.29,BE2919R,BE 2919 R,0.7653193275133768,,,,0.5,105.0,9.183831930160522,0.0,-3.5,8.0,0.0,111.18383193016052,G0729,removed trailing noisy suffix after valid 1-letter plate suffix: G0729; trailing digits/date-like noise removed; agreement with another OCR source,119.18383193016052,improved_v2_test,alpr_lampung_000127.jpg,BE 2919 RG,4,False
main_roi,main_roi_line,BE 1707CF,BE 1707CF,BE1707CF,BE 1707 CF,0.9485996961593628,0.0,0.5166666666666667,0.9666666666666667,2.2,112.0,11.383196353912354,8.0,0.0,0.0,0.0,133.58319635391234,,candidate from single OCR line; exact plate-like candidate without trailing noise,133.58319635391234,improved_v2_test,alpr_lampung_000133.jpg,BE 1707 CF,1,True
main_roi,main_roi_joined,BE 1707CF,BE 1707CF,BE1707CF,BE 1707 CF,0.9485996961593628,,,,0.8,112.0,11.383196353912354,0.0,0.0,0.0,0.0,124.18319635391235,,exact plate-like candidate without trailing noise,124.18319635391235,improved_v2_test,alpr_lampung_000133.jpg,BE 1707 CF,2,False
main_roi,main_roi_line,BE 1707CF,BE 1707CF,BE1707C,BE 1707 C,0.9485996961593628,0.0,0.5166666666666667,0.9666666666666667,2.2,102.0,11.383196353912354,8.0,-0.7,0.0,0.0,122.88319635391235,F,candidate from single OCR line; removed trailing noisy suffix after valid 1-letter plate suffix: F,122.88319635391235,improved_v2_test,alpr_lampung_000133.jpg,BE 1707 CF,3,False
main_roi,main_roi_joined,BE 1707CF,BE 1707CF,BE1707C,BE 1707 C,0.9485996961593628,,,,0.8,102.0,11.383196353912354,0.0,-0.7,0.0,0.0,113.48319635391235,F,removed trailing noisy suffix after valid 1-letter plate suffix: F,113.48319635391235,improved_v2_test,alpr_lampung_000133.jpg,BE 1707 CF,4,False
main_roi,main_roi_joined,BE 2182.HX,BE 2182.HX,BE2182HX,BE 2182 HX,0.9373663663864136,,,,0.8,112.0,11.248396396636963,0.0,0.0,8.0,0.0,124.04839639663696,,exact plate-like candidate without trailing noise; agreement with another OCR source,132.04839639663697,improved_v2_test,alpr_lampung_000168.jpg,BE 2182 HX,1,True
full_crop,full_crop_joined,BE 2182.HX 09.27,BE 2182.HX 09.27,BE2182HX,BE 2182 HX,0.9385618766148885,,,,0.5,107.0,11.262742519378662,0.0,-2.8,8.0,0.0,115.96274251937866,0927,removed trailing noisy suffix after valid 2-letter plate suffix: 0927; trailing digits/date-like noise removed; agreement with another OCR source,123.96274251937866,improved_v2_test,alpr_lampung_000168.jpg,BE 2182 HX,2,False
main_roi,main_roi_joined,BE 2182.HX,BE 2182.HX,BE2182H,BE 2182 H,0.9373663663864136,,,,0.8,102.0,11.248396396636963,0.0,-0.7,8.0,0.0,113.34839639663696,X,removed trailing noisy suffix after valid 1-letter plate suffix: X; agreement with another OCR source,121.34839639663696,improved_v2_test,alpr_lampung_000168.jpg,BE 2182 HX,3,False
full_crop,full_crop_joined,BE 2182.HX 09.27,BE 2182.HX 09.27,BE2182H,BE 2182 H,0.9385618766148885,,,,0.5,105.0,11.262742519378662,0.0,-3.5,8.0,0.0,113.26274251937866,X0927,removed trailing noisy suffix after valid 1-letter plate suffix: X0927; trailing digits/date-like noise removed; agreement with another OCR source,121.26274251937866,improved_v2_test,alpr_lampung_000168.jpg,BE 2182 HX,4,False
full_crop,full_crop_line,BE2476NCZ,BE2476NCZ 05.29,BE2476NCZ,BE 2476 NCZ,0.996484637260437,0.0,0.33584905660377357,0.41509433962264153,2.0,118.0,11.957815647125244,8.0,0.0,16.0,68.0,139.95781564712524,,"candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",223.95781564712524,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,1,True
full_crop,full_crop_joined,BE2476NCZ 05.29,BE2476NCZ 05.29,BE2476NCZ,BE 2476 NCZ,0.9556401073932648,,,,0.5,113.0,11.467681288719177,0.0,-2.8,16.0,80.0,122.16768128871918,0529,"removed trailing noisy suffix after valid 3-letter plate suffix: 0529; trailing digits/date-like noise removed; agreement with another OCR source; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise; full_crop candidate preferred: same number, comparable suffix conflict, and full crop contains plausible plate before date/noise",218.16768128871917,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,2,False
enhanced_main_roi,enhanced_main_roi_line,BE2476NCZ,BE2476NCZ - lunod,BE2476NCZ,BE 2476 NCZ,0.9949057698249817,0.0,0.46226415094339623,0.8490566037735849,0.3,118.0,11.93886923789978,8.0,0.0,16.0,0.0,138.2388692378998,,candidate from single OCR line; exact plate-like candidate without trailing noise; agreement with another OCR source,154.2388692378998,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,3,False
enhanced_main_roi,enhanced_main_roi_joined,BE2476NCZ,BE2476NCZ - lunod,BE2476NCZ,BE 2476 NCZ,0.6639015674591064,,,,-0.5,118.0,7.966818809509277,0.0,0.0,16.0,0.0,125.46681880950928,,exact plate-like candidate without trailing noise; agreement with another OCR source,141.46681880950928,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,4,False
main_roi,main_roi_line,BE2476NCZ,BE2476NCZ,BE2476NC,BE 2476 NC,0.9957225322723389,0.0,0.46540880503144655,0.7547169811320755,2.2,104.0,11.948670387268066,8.0,-3.7,16.0,0.0,122.44867038726807,Z,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: Z; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,138.44867038726807,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,5,False
full_crop,full_crop_line,BE2476NCZ,BE2476NCZ 05.29,BE2476NC,BE 2476 NC,0.996484637260437,0.0,0.33584905660377357,0.41509433962264153,2.0,104.0,11.957815647125244,8.0,-3.7,16.0,0.0,122.25781564712524,Z,candidate from single OCR line; removed trailing noisy suffix after valid 2-letter plate suffix: Z; shorter suffix penalized because 3-letter suffix remains plausible; agreement with another OCR source,138.25781564712526,improved_v2_test,alpr_lampung_000174.jpg,BE 2476 NCZ,6,False
